Software Used:	Crystal Instruments EDM software Ver.3.1.5.6
Instrument Used:	CoCo
Test Notes:	Default Test
Data Acquisition Time:	2015/10/30 21:22:57
Signal Exported Time:	2015/10/30 21:34:41
User:	Unknown User
Signal Name:	ch2
Sample Rate:	25600
Block Size:	37888
NVH Type:	Equidistant
Acquisition/Calculation Method:	Undefined
X Axis Start Value:	0.00000000E+000
X Axis Step:	3.90625000E-005
X Axis Unit:	Time (Seconds)
Y Axis Unit:	(g)
X:Time (Seconds)	Y:(g)
0.00000000E+000	-2.41609624E-003
3.90625000E-005	6.66730571E-003
7.81250000E-005	5.97582059E-003
1.17187500E-004	-4.37136322E-003
1.56250000E-004	6.16642535E-003
1.95312500E-004	6.02359262E-003
2.34375000E-004	-6.44581812E-003
2.73437500E-004	6.83426614E-003
3.12500000E-004	2.28001887E-003
3.51562500E-004	-7.47460132E-004
3.90625000E-004	5.73744426E-003
4.29687500E-004	7.97837669E-003
4.68750000E-004	-4.72941039E-003
5.07812500E-004	8.24088119E-003
5.46875000E-004	6.58672120E-004
5.85937500E-004	-8.43003792E-004
6.25000000E-004	7.35830839E-003
6.64062500E-004	7.93060558E-003
7.03125000E-004	-4.96778718E-003
7.42187500E-004	5.88027698E-003
7.81250000E-004	2.54204000E-003
8.20312500E-004	-9.21175815E-003
8.59375000E-004	7.50162403E-003
8.98437500E-004	3.96168349E-004
9.37500000E-004	-7.47460132E-004
9.76562500E-004	1.06965451E-002
1.01562500E-003	-1.20056864E-003
1.05468750E-003	-5.64576107E-005
1.09375000E-003	7.45385199E-003
1.13281250E-003	1.42157367E-003
1.17187500E-003	-2.13091276E-003
1.21093750E-003	6.47621851E-003
1.25000000E-003	6.30925854E-003
1.28906250E-003	-3.17996285E-003
1.32812500E-003	7.26276479E-003
1.36718750E-003	2.82818836E-003
1.40625000E-003	-5.56421114E-003
1.44531250E-003	9.95680648E-003
1.48437500E-003	-2.89381448E-003
1.52343750E-003	-3.10854625E-003
1.56250000E-003	9.69478442E-003
1.60156250E-003	-1.10550759E-003
1.64062500E-003	7.47701435E-003
1.67968750E-003	6.40431970E-003
1.71875000E-003	1.49250759E-003
1.75781250E-003	1.87419955E-003
1.79687500E-003	9.45592612E-003
1.83593750E-003	4.91229479E-004
1.87500000E-003	4.28209230E-003
1.91406250E-003	9.78984605E-003
1.95312500E-003	-1.15376195E-003
1.99218750E-003	4.80661745E-003
2.03125000E-003	6.83330079E-003
2.07031250E-003	-5.37408883E-003
2.10937500E-003	6.40383679E-003
2.14843750E-003	8.35910377E-003
2.18750000E-003	-1.55909860E-003
2.22656250E-003	4.75884542E-003
2.26562500E-003	4.63917505E-003
2.30468750E-003	-3.56213725E-003
2.34375000E-003	6.97613398E-003
2.38281250E-003	6.92836195E-003
2.42187500E-003	-3.41930453E-003
2.46093750E-003	-3.37153249E-003
2.50000000E-003	3.78121217E-003
2.53906250E-003	-3.32376069E-003
2.57812500E-003	2.80357868E-003
2.61718750E-003	4.68694661E-003
2.65625000E-003	-8.10673347E-005
2.69531250E-003	4.99673977E-003
2.73437500E-003	3.92404513E-003
2.77343750E-003	-1.29707735E-003
2.81250000E-003	7.21402787E-003
2.85156250E-003	3.23256000E-003
2.89062500E-003	1.56344151E-003
2.92968750E-003	9.16929485E-003
2.96875000E-003	3.94768992E-003
3.00781250E-003	-1.84572952E-003
3.04687500E-003	1.08379305E-002
3.08593750E-003	1.72991903E-003
3.12500000E-003	-3.41930453E-003
3.16406250E-003	8.45368295E-003
3.20312500E-003	6.80869123E-004
3.24218750E-003	1.56344154E-004
3.28125000E-003	6.06943442E-003
3.32031250E-003	-2.94255117E-003
3.35937500E-003	-6.06074848E-004
3.39843750E-003	9.12104037E-003
3.43750000E-003	2.27760605E-004
3.47656250E-003	7.38050540E-003
3.51562500E-003	3.11288916E-003
3.55468750E-003	-4.46883705E-003
3.59375000E-003	9.86029753E-003
3.63281250E-003	2.58836424E-003
3.67187500E-003	2.54059244E-003
3.71093750E-003	9.76475346E-003
3.75000000E-003	3.46948901E-004
3.78906250E-003	-3.68180815E-004
3.82812500E-003	8.26259481E-003
3.86718750E-003	2.85038536E-003
3.90625000E-003	-2.24865354E-004
3.94531250E-003	5.87834675E-003
3.98437500E-003	2.25396140E-003
4.02343750E-003	-1.87033920E-003
4.06250000E-003	9.95535822E-003
4.10156250E-003	3.49361624E-003
4.14062500E-003	4.16145657E-003
4.17968750E-003	7.73758768E-003
4.21875000E-003	-4.49296429E-003
4.25781250E-003	4.18510137E-003
4.29687500E-003	6.47428827E-003
4.33593750E-003	-1.63196264E-003
4.37500000E-003	3.54138804E-003
4.41406250E-003	6.71218262E-003
4.45312500E-003	-3.61087417E-003
4.49218750E-003	8.19069601E-003
4.53125000E-003	7.23670732E-003
4.57031250E-003	-2.08507120E-003
4.60937500E-003	1.09561541E-002
4.64843750E-003	1.00977085E-002
4.68750000E-003	1.72895391E-003
4.72656250E-003	1.38885716E-002
4.76562500E-003	8.52413350E-003
4.80468750E-003	-3.42075209E-003
4.84375000E-003	1.08842553E-002
4.88281250E-003	6.90278739E-003
4.92187500E-003	2.18157992E-003
4.96093750E-003	1.09320264E-002
5.00000000E-003	3.85069853E-003
5.03906250E-003	3.34981817E-003
5.07812500E-003	9.42986864E-003
5.11718750E-003	2.99225321E-003
5.15625000E-003	3.63596653E-003
5.19531250E-003	8.49952428E-003
5.23437500E-003	2.27664108E-003
5.27343750E-003	7.74482606E-004
5.31250000E-003	1.31010609E-002
5.35156250E-003	9.50080257E-003
5.39062500E-003	-2.65833304E-003
5.42968750E-003	1.49130118E-002
5.46875000E-003	3.46852389E-003
5.50781250E-003	-5.84360403E-004
5.54687500E-003	1.18372791E-002
5.58593750E-003	1.06642147E-004
5.62500000E-003	2.49475064E-004
5.66406250E-003	7.09242680E-003
5.70312500E-003	-2.63468848E-003
5.74218750E-003	3.25379189E-003
5.78125000E-003	4.94655506E-003
5.82031250E-003	-6.25907383E-003
5.85937500E-003	4.16435175E-004
5.89843750E-003	5.56662382E-003
5.93750000E-003	-1.29997259E-003
5.97656250E-003	4.30284197E-003
6.01562500E-003	7.64059629E-003
6.05468750E-003	-2.30125076E-003
6.09375000E-003	6.25762650E-003
6.13281250E-003	8.14147665E-003
6.17187500E-003	2.49040796E-003
6.21093750E-003	3.08683192E-003
6.25000000E-003	5.20857619E-003
6.28906250E-003	-4.56631089E-003
6.32812500E-003	-3.93755642E-004
6.36718750E-003	8.26066505E-003
6.40625000E-003	-5.84842904E-004
6.44531250E-003	2.60959612E-003
6.48437500E-003	1.25996981E-002
6.52343750E-003	-2.87403016E-003
6.56250000E-003	4.58850789E-003
6.60156250E-003	6.99640075E-003
6.64062500E-003	-4.87658649E-003
6.67968750E-003	7.47363632E-003
6.71875000E-003	2.01220704E-004
6.75781250E-003	-2.34950500E-003
6.79687500E-003	4.03985550E-003
6.83593750E-003	2.60959612E-003
6.87500000E-003	-2.25396140E-003
6.91406250E-003	1.22894225E-002
6.95312500E-003	1.75115092E-003
6.99218750E-003	-5.71138678E-003
7.03125000E-003	8.64139213E-003
7.07031250E-003	7.75930224E-003
7.10937500E-003	-1.06207859E-003
7.14843750E-003	8.49855940E-003
7.18750000E-003	4.13491666E-003
7.22656250E-003	-1.20539411E-003
7.26562500E-003	9.42793794E-003
7.30468750E-003	-3.94720731E-004
7.34375000E-003	9.39995070E-004
7.38281250E-003	8.02132337E-003
7.42187500E-003	-3.80437429E-003
7.46093750E-003	-2.87451260E-003
7.50000000E-003	1.07153651E-002
7.53906250E-003	-3.18430576E-003
7.57812500E-003	6.77491328E-004
7.61718750E-003	6.44774836E-003
7.65625000E-003	-2.82674080E-003
7.69531250E-003	-1.32699504E-004
7.73437500E-003	4.34964866E-003
7.77343750E-003	1.10695515E-003
7.81250000E-003	5.10531188E-004
7.85156250E-003	9.09401801E-003
7.89062500E-003	-2.65978060E-003
7.92968750E-003	9.87284312E-004
7.96875000E-003	1.00716510E-002
8.00781250E-003	-1.44425323E-003
8.04687500E-003	2.39438168E-003
8.08593750E-003	7.61550416E-003
8.12500000E-003	7.25263129E-004
8.16406250E-003	1.27343279E-003
